"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32345","Delete Branch","","2026-04-30","failed","2026-04-30","","branch CRUD","",""
"","5252","Create Branch","","2026-04-30","failed","2026-04-30","","branch CRUD","",""
"","2005","Update Designation","","2026-04-30","passed","2026-04-30","","designation CRUD","",""
"","31582","Update Branch","","2026-04-30","failed","2026-04-30","","branch CRUD","",""
"","1848","Add Designation","","2026-04-30","passed","2026-04-30","","designation CRUD","",""
"","33494","Add HQ User","","2026-04-30","failed","2026-04-30","","HQ user CRUD","",""
"","31579","Delete HQ User","","2026-04-30","failed","2026-04-30","","HQ user CRUD","",""
"","2004","Delete Designation","","2026-04-30","passed","2026-04-30","","designation CRUD","",""
